Date,GDP
3/31/2012,15973.9
6/30/2012,16121.9
9/30/2012,16227.9
12/31/2012,16297.3
3/31/2013,16475.4
6/30/2013,16541.4
9/30/2013,16749.3
12/31/2013,16999.9
